profile_id,education_level,OL_subject_0_score,OL_subject_1_score,OL_subject_2_score,OL_subject_3_score,OL_subject_4_score,OL_subject_5_score,career_0,career_1,career_2,career_3,career_4,career_5,AL_stream,AL_subject_10_score,AL_subject_11_score,AL_subject_12_score,AL_subject_3_score,AL_subject_1_score,AL_subject_0_score,university_score,gpa,AL_subject_2_score,AL_subject_4_score,AL_subject_5_score,AL_subject_6_score,AL_subject_7_score,AL_subject_8_score,AL_subject_9_score
1,0,53,9,47,89,78,10,0.6355000000000001,0.6369999999999999,0.5855,0.47350000000000003,0.42350000000000004,0.5735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,1,41,37,36,21,92,48,0.646,0.6735,0.9,0.468,0.41800000000000004,0.5680000000000001,4.0,48.0,91.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,1,75,74,16,37,91,54,0.7070000000000001,0.719,0.9,0.458,0.40800000000000003,0.558,4.0,15.0,47.0,98.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,0,55,86,41,15,36,70,0.7115,0.7494999999999999,0.6615,0.47050000000000003,0.42050000000000004,0.5705,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,1,40,44,22,47,25,54,0.6450000000000001,0.6769999999999999,0.6829999999999999,0.461,0.41100000000000003,0.561,4.0,38.0,13.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,0,89,83,71,19,13,60,0.7575000000000001,0.7599999999999999,0.7075,0.4855,0.4355,0.5855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,0,4,99,17,34,19,28,0.6615,0.7569999999999999,0.6114999999999999,0.4585,0.40850000000000003,0.5585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,0,55,89,81,33,38,34,0.7345,0.774,0.6845,0.49050000000000005,0.4405,0.5905,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,1,61,68,42,54,22,70,0.7000000000000001,0.92,0.65,0.47100000000000003,0.42100000000000004,0.5710000000000001,1.0,-1.0,-1.0,-1.0,90.0,19.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,1,78,45,23,51,84,24,0.6845,0.92,0.6345,0.4615,0.41150000000000003,0.5615,1.0,-1.0,-1.0,-1.0,76.0,36.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
